Name,Type1,Type2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Abilities,Weight (kg),Height (m)
beedrillmega,Bug,Poison,65,150,40,15,80,145,Adaptability,40.5,1.4
pidgey,Normal,Flying,40,45,40,35,35,56,"Keen Eye, Tangled Feet, Big Pecks",1.8,0.3
pidgeotto,Normal,Flying,63,60,55,50,50,71,"Keen Eye, Tangled Feet, Big Pecks",30,1.1
pidgeot,Normal,Flying,83,80,75,70,70,101,"Keen Eye, Tangled Feet, Big Pecks",39.5,1.5
pidgeotmega,Normal,Flying,83,80,80,135,80,121,No Guard,50.5,2.2
rattata,Normal,,30,56,35,25,35,72,"Run Away, Guts, Hustle",3.5,0.3
rattataalola,Dark,Normal,30,56,35,25,35,72,"Gluttony, Hustle, Thick Fat",3.8,0.3
raticate,Normal,,55,81,60,50,70,97,"Run Away, Guts, Hustle",18.5,0.7
raticatealola,Dark,Normal,75,71,70,40,80,77,"Gluttony, Hustle, Thick Fat",25.5,0.7
raticatealolatotem,Dark,Normal,75,71,70,40,80,77,Thick Fat,105,1.4
spearow,Normal,Flying,40,60,30,31,31,70,"Keen Eye, Sniper",2,0.3
fearow,Normal,Flying,65,90,65,61,61,100,"Keen Eye, Sniper",38,1.2
ekans,Poison,,35,60,44,40,54,55,"Intimidate, Shed Skin, Unnerve",6.9,2
arbok,Poison,,60,95,69,65,79,80,"Intimidate, Shed Skin, Unnerve",65,3.5
pikachu,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
pikachucosplay,Electric,,35,55,40,50,50,90,Lightning Rod,6,0.4
pikachurockstar,Electric,,35,55,40,50,50,90,Lightning Rod,6,0.4
pikachubelle,Electric,,35,55,40,50,50,90,Lightning Rod,6,0.4
pikachupopstar,Electric,,35,55,40,50,50,90,Lightning Rod,6,0.4
pikachuphd,Electric,,35,55,40,50,50,90,Lightning Rod,6,0.4
pikachulibre,Electric,,35,55,40,50,50,90,Lightning Rod,6,0.4
pikachuoriginal,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
pikachuhoenn,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
pikachusinnoh,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
pikachuunova,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
pikachukalos,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
pikachualola,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
pikachupartner,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
pikachustarter,Electric,,45,80,50,75,60,120,"Static, Lightning Rod",6,0.4
pikachugmax,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",0,21
pikachuworld,Electric,,35,55,40,50,50,90,"Static, Lightning Rod",6,0.4
raichu,Electric,,60,90,55,90,80,110,"Static, Lightning Rod",30,0.8
raichualola,Electric,Psychic,60,85,50,95,85,110,Surge Surfer,21,0.7
sandshrew,Ground,,50,75,85,20,30,40,"Sand Veil, Sand Rush",12,0.6
sandshrewalola,Ice,Steel,50,75,90,10,35,40,"Snow Cloak, Slush Rush",40,0.7
sandslash,Ground,,75,100,110,45,55,65,"Sand Veil, Sand Rush",29.5,1
sandslashalola,Ice,Steel,75,100,120,25,65,65,"Snow Cloak, Slush Rush",55,1.2
nidoranf,Poison,,55,47,52,40,40,41,"Poison Point, Rivalry, Hustle",7,0.4
nidorina,Poison,,70,62,67,55,55,56,"Poison Point, Rivalry, Hustle",20,0.8
nidoqueen,Poison,Ground,90,92,87,75,85,76,"Poison Point, Rivalry, Sheer Force",60,1.3
nidoranm,Poison,,46,57,40,40,40,50,"Poison Point, Rivalry, Hustle",9,0.5
nidorino,Poison,,61,72,57,55,55,65,"Poison Point, Rivalry, Hustle",19.5,0.9
nidoking,Poison,Ground,81,102,77,85,75,85,"Poison Point, Rivalry, Sheer Force",62,1.4
clefairy,Fairy,,70,45,48,60,65,35,"Cute Charm, Magic Guard, Friend Guard",7.5,0.6
clefable,Fairy,,95,70,73,95,90,60,"Cute Charm, Magic Guard, Unaware",40,1.3
vulpix,Fire,,38,41,40,50,65,65,"Flash Fire, Drought",9.9,0.6
vulpixalola,Ice,,38,41,40,50,65,65,"Snow Cloak, Snow Warning",9.9,0.6
ninetales,Fire,,73,76,75,81,100,100,"Flash Fire, Drought",19.9,1.1
ninetalesalola,Ice,Fairy,73,67,75,81,100,109,"Snow Cloak, Snow Warning",19.9,1.1
jigglypuff,Normal,Fairy,115,45,20,45,25,20,"Cute Charm, Competitive, Friend Guard",5.5,0.5
wigglytuff,Normal,Fairy,140,70,45,85,50,45,"Cute Charm, Competitive, Frisk",12,1
zubat,Poison,Flying,40,45,35,30,40,55,"Inner Focus, Infiltrator",7.5,0.8
golbat,Poison,Flying,75,80,70,65,75,90,"Inner Focus, Infiltrator",55,1.6
oddish,Grass,Poison,45,50,55,75,65,30,"Chlorophyll, Run Away",5.4,0.5
gloom,Grass,Poison,60,65,70,85,75,40,"Chlorophyll, Stench",8.6,0.8
vileplume,Grass,Poison,75,80,85,110,90,50,"Chlorophyll, Effect Spore",18.6,1.2
paras,Bug,Grass,35,70,55,45,55,25,"Effect Spore, Dry Skin, Damp",5.4,0.3
parasect,Bug,Grass,60,95,80,60,80,30,"Effect Spore, Dry Skin, Damp",29.5,1
venonat,Bug,Poison,60,55,50,40,55,45,"Compound Eyes, Tinted Lens, Run Away",30,1
venomoth,Bug,Poison,70,65,60,90,75,90,"Shield Dust, Tinted Lens, Wonder Skin",12.5,1.5
diglett,Ground,,10,55,25,35,45,95,"Sand Veil, Arena Trap, Sand Force",0.8,0.2
diglettalola,Ground,Steel,10,55,30,35,45,90,"Sand Veil, Tangling Hair, Sand Force",1,0.2
dugtrio,Ground,,35,100,50,50,70,120,"Sand Veil, Arena Trap, Sand Force",33.3,0.7
dugtrioalola,Ground,Steel,35,100,60,50,70,110,"Sand Veil, Tangling Hair, Sand Force",66.6,0.7
meowth,Normal,,40,45,35,40,40,90,"Pickup, Technician, Unnerve",4.2,0.4
meowthalola,Dark,,40,35,35,50,40,90,"Pickup, Technician, Rattled",4.2,0.4
meowthgalar,Steel,,50,65,55,40,40,40,"Pickup, Tough Claws, Unnerve",7.5,0.4
meowthgmax,Normal,,40,45,35,40,40,90,"Pickup, Technician, Unnerve",0,33
persian,Normal,,65,70,60,65,65,115,"Limber, Technician, Unnerve",32,1
persianalola,Dark,,65,60,60,75,65,115,"Fur Coat, Technician, Rattled",33,1.1
psyduck,Water,,50,52,48,65,50,55,"Damp, Cloud Nine, Swift Swim",19.6,0.8
golduck,Water,,80,82,78,95,80,85,"Damp, Cloud Nine, Swift Swim",76.6,1.7
mankey,Fighting,,40,80,35,35,45,70,"Vital Spirit, Anger Point, Defiant",28,0.5
primeape,Fighting,,65,105,60,60,70,95,"Vital Spirit, Anger Point, Defiant",32,1
growlithe,Fire,,55,70,45,70,50,60,"Intimidate, Flash Fire, Justified",19,0.7
growlithehisui,Fire,Rock,60,75,45,65,50,55,"Intimidate, Flash Fire, Rock Head",22.7,0.8
arcanine,Fire,,90,110,80,100,80,95,"Intimidate, Flash Fire, Justified",155,1.9
arcaninehisui,Fire,Rock,95,115,80,95,80,90,"Intimidate, Flash Fire, Rock Head",168,2
poliwag,Water,,40,50,40,40,40,90,"Water Absorb, Damp, Swift Swim",12.4,0.6
poliwhirl,Water,,65,65,65,50,50,90,"Water Absorb, Damp, Swift Swim",20,1
poliwrath,Water,Fighting,90,95,95,70,90,70,"Water Absorb, Damp, Swift Swim",54,1.3
abra,Psychic,,25,20,15,105,55,90,"Synchronize, Inner Focus, Magic Guard",19.5,0.9
kadabra,Psychic,,40,35,30,120,70,105,"Synchronize, Inner Focus, Magic Guard",56.5,1.3
alakazam,Psychic,,55,50,45,135,95,120,"Synchronize, Inner Focus, Magic Guard",48,1.5
alakazammega,Psychic,,55,50,65,175,105,150,Trace,48,1.2
machop,Fighting,,70,80,50,35,35,35,"Guts, No Guard, Steadfast",19.5,0.8
machoke,Fighting,,80,100,70,50,60,45,"Guts, No Guard, Steadfast",70.5,1.5
machamp,Fighting,,90,130,80,65,85,55,"Guts, No Guard, Steadfast",130,1.6
machampgmax,Fighting,,90,130,80,65,85,55,"Guts, No Guard, Steadfast",0,25
bellsprout,Grass,Poison,50,75,35,70,30,40,"Chlorophyll, Gluttony",4,0.7
weepinbell,Grass,Poison,65,90,50,85,45,55,"Chlorophyll, Gluttony",6.4,1
victreebel,Grass,Poison,80,105,65,100,70,70,"Chlorophyll, Gluttony",15.5,1.7
tentacool,Water,Poison,40,40,35,50,100,70,"Clear Body, Liquid Ooze, Rain Dish",45.5,0.9
tentacruel,Water,Poison,80,70,65,80,120,100,"Clear Body, Liquid Ooze, Rain Dish",55,1.6
geodude,Rock,Ground,40,80,100,30,30,20,"Rock Head, Sturdy, Sand Veil",20,0.4
geodudealola,Rock,Electric,40,80,100,30,30,20,"Magnet Pull, Sturdy, Galvanize",20.3,0.4
graveler,Rock,Ground,55,95,115,45,45,35,"Rock Head, Sturdy, Sand Veil",105,1
graveleralola,Rock,Electric,55,95,115,45,45,35,"Magnet Pull, Sturdy, Galvanize",110,1
golem,Rock,Ground,80,120,130,55,65,45,"Rock Head, Sturdy, Sand Veil",300,1.4
golemalola,Rock,Electric,80,120,130,55,65,45,"Magnet Pull, Sturdy, Galvanize",316,1.7
ponyta,Fire,,50,85,55,65,65,90,"Run Away, Flash Fire, Flame Body",30,1
ponytagalar,Psychic,,50,85,55,65,65,90,"Run Away, Pastel Veil, Anticipation",24,0.8
rapidash,Fire,,65,100,70,80,80,105,"Run Away, Flash Fire, Flame Body",95,1.7
rapidashgalar,Psychic,Fairy,65,100,70,80,80,105,"Run Away, Pastel Veil, Anticipation",80,1.7
slowpoke,Water,Psychic,90,65,65,40,40,15,"Oblivious, Own Tempo, Regenerator",36,1.2
slowpokegalar,Psychic,,90,65,65,40,40,15,"Gluttony, Own Tempo, Regenerator",36,1.2
slowbro,Water,Psychic,95,75,110,100,80,30,"Oblivious, Own Tempo, Regenerator",78.5,1.6
slowbromega,Water,Psychic,95,75,180,130,80,30,Shell Armor,120,2
slowbrogalar,Poison,Psychic,95,100,95,100,70,30,"Quick Draw, Own Tempo, Regenerator",70.5,1.6
magnemite,Electric,Steel,25,35,70,95,55,45,"Magnet Pull, Sturdy, Analytic",6,0.3
magneton,Electric,Steel,50,60,95,120,70,70,"Magnet Pull, Sturdy, Analytic",60,1
farfetchd,Normal,Flying,52,90,55,58,62,60,"Keen Eye, Inner Focus, Defiant",15,0.8
farfetchdgalar,Fighting,,52,95,55,58,62,55,"Steadfast, Scrappy",42,0.8
doduo,Normal,Flying,35,85,45,35,35,75,"Run Away, Early Bird, Tangled Feet",39.2,1.4
dodrio,Normal,Flying,60,110,70,60,60,110,"Run Away, Early Bird, Tangled Feet",85.2,1.8
seel,Water,,65,45,55,45,70,45,"Thick Fat, Hydration, Ice Body",90,1.1
dewgong,Water,Ice,90,70,80,70,95,70,"Thick Fat, Hydration, Ice Body",120,1.7
grimer,Poison,,80,80,50,40,50,25,"Stench, Sticky Hold, Poison Touch",30,0.9
grimeralola,Poison,Dark,80,80,50,40,50,25,"Poison Touch, Gluttony, Power of Alchemy",42,0.7
muk,Poison,,105,105,75,65,100,50,"Stench, Sticky Hold, Poison Touch",30,1.2
mukalola,Poison,Dark,105,105,75,65,100,50,"Poison Touch, Gluttony, Power of Alchemy",52,1
shellder,Water,,30,65,100,45,25,40,"Shell Armor, Skill Link, Overcoat",4,0.3
cloyster,Water,Ice,50,95,180,85,45,70,"Shell Armor, Skill Link, Overcoat",132.5,1.5
gastly,Ghost,Poison,30,35,30,100,35,80,Levitate,0.1,1.3
haunter,Ghost,Poison,45,50,45,115,55,95,Levitate,0.1,1.6
gengar,Ghost,Poison,60,65,60,130,75,110,Cursed Body,40.5,1.5
gengarmega,Ghost,Poison,60,65,80,170,95,130,Shadow Tag,40.5,1.4
gengargmax,Ghost,Poison,60,65,60,130,75,110,Cursed Body,0,20
onix,Rock,Ground,35,45,160,30,45,70,"Rock Head, Sturdy, Weak Armor",210,8.8
drowzee,Psychic,,60,48,45,43,90,42,"Insomnia, Forewarn, Inner Focus",32.4,1
hypno,Psychic,,85,73,70,73,115,67,"Insomnia, Forewarn, Inner Focus",75.6,1.6
krabby,Water,,30,105,90,25,25,50,"Hyper Cutter, Shell Armor, Sheer Force",6.5,0.4
kingler,Water,,55,130,115,50,50,75,"Hyper Cutter, Shell Armor, Sheer Force",60,1.3
kinglergmax,Water,,55,130,115,50,50,75,"Hyper Cutter, Shell Armor, Sheer Force",0,19
voltorb,Electric,,40,30,50,55,55,100,"Soundproof, Static, Aftermath",10.4,0.5
voltorbhisui,Electric,Grass,40,30,50,55,55,100,"Soundproof, Static, Aftermath",13,0.5
electrode,Electric,,60,50,70,80,80,150,"Soundproof, Static, Aftermath",66.6,1.2
electrodehisui,Electric,Grass,60,50,70,80,80,150,"Soundproof, Static, Aftermath",71,1.2
exeggcute,Grass,Psychic,60,40,80,60,45,40,"Chlorophyll, Harvest",2.5,0.4
exeggutor,Grass,Psychic,95,95,85,125,75,55,"Chlorophyll, Harvest",120,2
exeggutoralola,Grass,Dragon,95,105,85,125,75,45,"Frisk, Harvest",415.6,10.9
cubone,Ground,,50,50,95,40,50,35,"Rock Head, Lightning Rod, Battle Armor",6.5,0.4
marowak,Ground,,60,80,110,50,80,45,"Rock Head, Lightning Rod, Battle Armor",45,1
marowakalola,Fire,Ghost,60,80,110,50,80,45,"Cursed Body, Lightning Rod, Rock Head",34,1
marowakalolatotem,Fire,Ghost,60,80,110,50,80,45,Rock Head,98,1.7
hitmonlee,Fighting,,50,120,53,35,110,87,"Limber, Reckless, Unburden",49.8,1.5
hitmonchan,Fighting,,50,105,79,35,110,76,"Keen Eye, Iron Fist, Inner Focus",50.2,1.4
lickitung,Normal,,90,55,75,60,75,30,"Own Tempo, Oblivious, Cloud Nine",65.5,1.2
koffing,Poison,,40,65,95,60,45,35,"Levitate, Neutralizing Gas, Stench",1,0.6
weezing,Poison,,65,90,120,85,70,60,"Levitate, Neutralizing Gas, Stench",9.5,1.2
weezinggalar,Poison,Fairy,65,90,120,85,70,60,"Levitate, Neutralizing Gas, Misty Surge",16,3
rhyhorn,Ground,Rock,80,85,95,30,30,25,"Lightning Rod, Rock Head, Reckless",115,1
rhydon,Ground,Rock,105,130,120,45,45,40,"Lightning Rod, Rock Head, Reckless",120,1.9
chansey,Normal,,250,5,5,35,105,50,"Natural Cure, Serene Grace, Healer",34.6,1.1
tangela,Grass,,65,55,115,100,40,60,"Chlorophyll, Leaf Guard, Regenerator",35,1
kangaskhan,Normal,,105,95,80,40,80,90,"Early Bird, Scrappy, Inner Focus",80,2.2
kangaskhanmega,Normal,,105,125,100,60,100,100,Parental Bond,100,2.2
horsea,Water,,30,40,70,70,25,60,"Swift Swim, Sniper, Damp",8,0.4
seadra,Water,,55,65,95,95,45,85,"Poison Point, Sniper, Damp",25,1.2
goldeen,Water,,45,67,60,35,50,63,"Swift Swim, Water Veil, Lightning Rod",15,0.6
seaking,Water,,80,92,65,65,80,68,"Swift Swim, Water Veil, Lightning Rod",39,1.3
staryu,Water,,30,45,55,70,55,85,"Illuminate, Natural Cure, Analytic",34.5,0.8
starmie,Water,Psychic,60,75,85,100,85,115,"Illuminate, Natural Cure, Analytic",80,1.1
mrmime,Psychic,Fairy,40,45,65,100,120,90,"Soundproof, Filter, Technician",54.5,1.3
mrmimegalar,Ice,Psychic,50,65,65,90,90,100,"Vital Spirit, Screen Cleaner, Ice Body",56.8,1.4
scyther,Bug,Flying,70,110,80,55,80,105,"Swarm, Technician, Steadfast",56,1.5
jynx,Ice,Psychic,65,50,35,115,95,95,"Oblivious, Forewarn, Dry Skin",40.6,1.4
electabuzz,Electric,,65,83,57,95,85,105,"Static, Vital Spirit",30,1.1
magmar,Fire,,65,95,57,100,85,93,"Flame Body, Vital Spirit",44.5,1.3
pinsir,Bug,,65,125,100,55,70,85,"Hyper Cutter, Mold Breaker, Moxie",55,1.5
pinsirmega,Bug,Flying,65,155,120,65,90,105,Aerilate,59,1.7
tauros,Normal,,75,100,95,40,70,110,"Intimidate, Anger Point, Sheer Force",88.4,1.4
taurospaldeacombat,Fighting,,75,110,105,30,70,100,"Intimidate, Anger Point, Cud Chew",115,1.4
taurospaldeablaze,Fighting,Fire,75,110,105,30,70,100,"Intimidate, Anger Point, Cud Chew",85,1.4
taurospaldeaaqua,Fighting,Water,75,110,105,30,70,100,"Intimidate, Anger Point, Cud Chew",110,1.4
magikarp,Water,,20,10,55,15,20,80,"Swift Swim, Rattled",10,0.9
gyarados,Water,Flying,95,125,79,60,100,81,"Intimidate, Moxie",235,6.5
gyaradosmega,Water,Dark,95,155,109,70,130,81,Mold Breaker,305,6.5
lapras,Water,Ice,130,85,80,85,95,60,"Water Absorb, Shell Armor, Hydration",220,2.5
laprasgmax,Water,Ice,130,85,80,85,95,60,"Water Absorb, Shell Armor, Hydration",0,24
ditto,Normal,,48,48,48,48,48,48,"Limber, Imposter",4,0.3
eevee,Normal,,55,55,50,45,65,55,"Run Away, Adaptability, Anticipation",6.5,0.3
eeveestarter,Normal,,65,75,70,65,85,75,"Run Away, Adaptability, Anticipation",6.5,0.3
eeveegmax,Normal,,55,55,50,45,65,55,"Run Away, Adaptability, Anticipation",0,18
vaporeon,Water,,130,65,60,110,95,65,"Water Absorb, Hydration",29,1
jolteon,Electric,,65,65,60,110,95,130,"Volt Absorb, Quick Feet",24.5,0.8
flareon,Fire,,65,130,60,95,110,65,"Flash Fire, Guts",25,0.9
porygon,Normal,,65,60,70,85,75,40,"Trace, Download, Analytic",36.5,0.8
omanyte,Rock,Water,35,40,100,90,55,35,"Swift Swim, Shell Armor, Weak Armor",7.5,0.4
omastar,Rock,Water,70,60,125,115,70,55,"Swift Swim, Shell Armor, Weak Armor",35,1
kabuto,Rock,Water,30,80,90,55,45,55,"Swift Swim, Battle Armor, Weak Armor",11.5,0.5
kabutops,Rock,Water,60,115,105,65,70,80,"Swift Swim, Battle Armor, Weak Armor",40.5,1.3
aerodactyl,Rock,Flying,80,105,65,60,75,130,"Rock Head, Pressure, Unnerve",59,1.8
aerodactylmega,Rock,Flying,80,135,85,70,95,150,Tough Claws,79,2.1
snorlax,Normal,,160,110,65,65,110,30,"Immunity, Thick Fat, Gluttony",460,2.1
snorlaxgmax,Normal,,160,110,65,65,110,30,"Immunity, Thick Fat, Gluttony",0,35
articuno,Ice,Flying,90,85,100,95,125,85,"Pressure, Snow Cloak",55.4,1.7
articunogalar,Psychic,Flying,90,85,85,125,100,95,Competitive,50.9,1.7
zapdos,Electric,Flying,90,90,85,125,90,100,"Pressure, Static",52.6,1.6
zapdosgalar,Fighting,Flying,90,125,90,85,90,100,Defiant,58.2,1.6
moltres,Fire,Flying,90,100,90,125,85,90,"Pressure, Flame Body",60,2
moltresgalar,Dark,Flying,90,85,90,100,125,90,Berserk,66,2
dratini,Dragon,,41,64,45,50,50,50,"Shed Skin, Marvel Scale",3.3,1.8
dragonair,Dragon,,61,84,65,70,70,70,"Shed Skin, Marvel Scale",16.5,4
dragonite,Dragon,Flying,91,134,95,100,100,80,"Inner Focus, Multiscale",210,2.2
mewtwo,Psychic,,106,110,90,154,90,130,"Pressure, Unnerve",122,2
mewtwomegax,Psychic,Fighting,106,190,100,154,100,130,Steadfast,127,2.3
mewtwomegay,Psychic,,106,150,70,194,120,140,Insomnia,33,1.5
mew,Psychic,,100,100,100,100,100,100,Synchronize,4,0.4
chikorita,Grass,,45,49,65,49,65,45,"Overgrow, Leaf Guard",6.4,0.9
bayleef,Grass,,60,62,80,63,80,60,"Overgrow, Leaf Guard",15.8,1.2
meganium,Grass,,80,82,100,83,100,80,"Overgrow, Leaf Guard",100.5,1.8
cyndaquil,Fire,,39,52,43,60,50,65,"Blaze, Flash Fire",7.9,0.5
quilava,Fire,,58,64,58,80,65,80,"Blaze, Flash Fire",19,0.9
typhlosion,Fire,,78,84,78,109,85,100,"Blaze, Flash Fire",79.5,1.7
typhlosionhisui,Fire,Ghost,73,84,78,119,85,95,"Blaze, Frisk",69.8,1.6
totodile,Water,,50,65,64,44,48,43,"Torrent, Sheer Force",9.5,0.6
croconaw,Water,,65,80,80,59,63,58,"Torrent, Sheer Force",25,1.1
feraligatr,Water,,85,105,100,79,83,78,"Torrent, Sheer Force",88.8,2.3
sentret,Normal,,35,46,34,35,45,20,"Run Away, Keen Eye, Frisk",6,0.8
furret,Normal,,85,76,64,45,55,90,"Run Away, Keen Eye, Frisk",32.5,1.8
hoothoot,Normal,Flying,60,30,30,36,56,50,"Insomnia, Keen Eye, Tinted Lens",21.2,0.7
noctowl,Normal,Flying,100,50,50,86,96,70,"Insomnia, Keen Eye, Tinted Lens",40.8,1.6
ledyba,Bug,Flying,40,20,30,40,80,55,"Swarm, Early Bird, Rattled",10.8,1
ledian,Bug,Flying,55,35,50,55,110,85,"Swarm, Early Bird, Iron Fist",35.6,1.4
spinarak,Bug,Poison,40,60,40,40,40,30,"Swarm, Insomnia, Sniper",8.5,0.5
ariados,Bug,Poison,70,90,70,60,70,40,"Swarm, Insomnia, Sniper",33.5,1.1
crobat,Poison,Flying,85,90,80,70,80,130,"Inner Focus, Infiltrator",75,1.8
chinchou,Water,Electric,75,38,38,56,56,67,"Volt Absorb, Illuminate, Water Absorb",12,0.5
lanturn,Water,Electric,125,58,58,76,76,67,"Volt Absorb, Illuminate, Water Absorb",22.5,1.2
pichu,Electric,,20,40,15,35,35,60,"Static, Lightning Rod",2,0.3
pichuspikyeared,Electric,,20,40,15,35,35,60,Static,2,0.3
cleffa,Fairy,,50,25,28,45,55,15,"Cute Charm, Magic Guard, Friend Guard",3,0.3
igglybuff,Normal,Fairy,90,30,15,40,20,15,"Cute Charm, Competitive, Friend Guard",1,0.3
togepi,Fairy,,35,20,65,40,65,20,"Hustle, Serene Grace, Super Luck",1.5,0.3
togetic,Fairy,Flying,55,40,85,80,105,40,"Hustle, Serene Grace, Super Luck",3.2,0.6
natu,Psychic,Flying,40,50,45,70,45,70,"Synchronize, Early Bird, Magic Bounce",2,0.2
xatu,Psychic,Flying,65,75,70,95,70,95,"Synchronize, Early Bird, Magic Bounce",15,1.5
mareep,Electric,,55,40,40,65,45,35,"Static, Plus",7.8,0.6
flaaffy,Electric,,70,55,55,80,60,45,"Static, Plus",13.3,0.8
ampharos,Electric,,90,75,85,115,90,55,"Static, Plus",61.5,1.4
ampharosmega,Electric,Dragon,90,95,105,165,110,45,Mold Breaker,61.5,1.4
bellossom,Grass,,75,80,95,90,100,50,"Chlorophyll, Healer",5.8,0.4
marill,Water,Fairy,70,20,50,20,50,40,"Thick Fat, Huge Power, Sap Sipper",8.5,0.4
azumarill,Water,Fairy,100,50,80,60,80,50,"Thick Fat, Huge Power, Sap Sipper",28.5,0.8
sudowoodo,Rock,,70,100,115,30,65,30,"Sturdy, Rock Head, Rattled",38,1.2
politoed,Water,,90,75,75,90,100,70,"Water Absorb, Damp, Drizzle",33.9,1.1
hoppip,Grass,Flying,35,35,40,35,55,50,"Chlorophyll, Leaf Guard, Infiltrator",0.5,0.4
skiploom,Grass,Flying,55,45,50,45,65,80,"Chlorophyll, Leaf Guard, Infiltrator",1,0.6
jumpluff,Grass,Flying,75,55,70,55,95,110,"Chlorophyll, Leaf Guard, Infiltrator",3,0.8
aipom,Normal,,55,70,55,40,55,85,"Run Away, Pickup, Skill Link",11.5,0.8
sunkern,Grass,,30,30,30,30,30,30,"Chlorophyll, Solar Power, Early Bird",1.8,0.3
sunflora,Grass,,75,75,55,105,85,30,"Chlorophyll, Solar Power, Early Bird",8.5,0.8
yanma,Bug,Flying,65,65,45,75,45,95,"Speed Boost, Compound Eyes, Frisk",38,1.2
wooper,Water,Ground,55,45,45,25,25,15,"Damp, Water Absorb, Unaware",8.5,0.4
wooperpaldea,Poison,Ground,55,45,45,25,25,15,"Poison Point, Water Absorb, Unaware",11,0.4
quagsire,Water,Ground,95,85,85,65,65,35,"Damp, Water Absorb, Unaware",75,1.4
espeon,Psychic,,65,65,60,130,95,110,"Synchronize, Magic Bounce",26.5,0.9
umbreon,Dark,,95,65,110,60,130,65,"Synchronize, Inner Focus",27,1
murkrow,Dark,Flying,60,85,42,85,42,91,"Insomnia, Super Luck, Prankster",2.1,0.5
slowking,Water,Psychic,95,75,80,100,110,30,"Oblivious, Own Tempo, Regenerator",79.5,2
slowkinggalar,Poison,Psychic,95,65,80,110,110,30,"Curious Medicine, Own Tempo, Regenerator",79.5,1.8
misdreavus,Ghost,,60,60,60,85,85,85,Levitate,1,0.7
unown,Psychic,,48,72,48,72,48,48,Levitate,5,0.5
wobbuffet,Psychic,,190,33,58,33,58,33,"Shadow Tag, Telepathy",28.5,1.3
girafarig,Normal,Psychic,70,80,65,90,65,85,"Inner Focus, Early Bird, Sap Sipper",41.5,1.5
pineco,Bug,,50,65,90,35,35,15,"Sturdy, Overcoat",7.2,0.6
forretress,Bug,Steel,75,90,140,60,60,40,"Sturdy, Overcoat",125.8,1.2
dunsparce,Normal,,100,70,70,65,65,45,"Serene Grace, Run Away, Rattled",14,1.5
gligar,Ground,Flying,65,75,105,35,65,85,"Hyper Cutter, Sand Veil, Immunity",64.8,1.1
steelix,Steel,Ground,75,85,200,55,65,30,"Rock Head, Sturdy, Sheer Force",400,9.2
steelixmega,Steel,Ground,75,125,230,55,95,30,Sand Force,740,10.5
snubbull,Fairy,,60,80,50,40,40,30,"Intimidate, Run Away, Rattled",7.8,0.6
