Name,link,Move 1,Move 2,Move 3,Move 4,Item,Ability,Nature,EVs,Formats
Chansey,https://www.smogon.com/dex/sm/pokemon/chansey/,Aromatherapy/Stealth Rock,Seismic Toss,Soft-Boiled,Thunder Wave/Toxic,Eviolite,Natural Cure,Bold,252 HP/252 Def/4 SpD/,OU/Uber/Monotype/Doubles/Battle Spot Singles/BH/1v1/LGPE OU/
Tangela,https://www.smogon.com/dex/sm/pokemon/tangela/,Giga Drain,Hidden Power,Knock Off,Sleep Powder/Synthesis/Leech Seed,Eviolite,Regenerator,Bold,252 HP/252 Def/4 SpD/,PU/RU/NFE/
Kangaskhan,https://www.smogon.com/dex/sm/pokemon/kangaskhan/,Fake Out,Seismic Toss,Crunch/Shadow Claw,Rock Tomb/Body Slam,Kangaskhanite,Scrappy,Jolly,52 HP/180 Atk/36 Def/8 SpD/232 Spe/,Uber/PU/Battle Spot Singles/VGC19/VGC18/BH/
Horsea,https://www.smogon.com/dex/sm/pokemon/horsea/,Hydro Pump,Ice Beam,Rain Dance,Hidden Power,Life Orb,Swift Swim,Timid,116 HP/196 SpA/196 Spe/,LC/
Seadra,https://www.smogon.com/dex/sm/pokemon/seadra/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Goldeen,https://www.smogon.com/dex/sm/pokemon/goldeen/,Bounce,Waterfall,Drill Run,Knock Off,Flyinium Z,Lightning Rod,Jolly,220 Atk/36 SpD/252 Spe/,LC/
Seaking,https://www.smogon.com/dex/sm/pokemon/seaking/,Waterfall,Knock Off,Drill Run,Megahorn,Life Orb,Lightning Rod,Adamant,64 HP/252 Atk/192 Spe/,PU/
Butterfree,https://www.smogon.com/dex/sm/pokemon/butterfree/,Quiver Dance,Bug Buzz,Substitute,Sleep Powder,Buginium Z,Tinted Lens,Timid,252 SpA/4 SpD/252 Spe/,ZU/PU/
Staryu,https://www.smogon.com/dex/sm/pokemon/staryu/,Rapid Spin,Scald,Thunderbolt/Ice Beam/Psychic,Recover,Eviolite,Natural Cure,Timid,116 HP/156 Def/236 Spe/,LC/
Starmie,https://www.smogon.com/dex/sm/pokemon/starmie/,Scald,Protect/Toxic,Recover,Rapid Spin,Leftovers,Natural Cure,Timid,252 HP/4 SpA/252 Spe/,UU/LGPE OU/
Mr. Mime,https://www.smogon.com/dex/sm/pokemon/mr. mime/,Psychic,Dazzling Gleam,Focus Blast,Psyshock/Shadow Ball/Trick,Choice Specs,Soundproof,Timid,252 SpA/4 SpD/252 Spe/,ZU/PU/
Scyther,https://www.smogon.com/dex/sm/pokemon/scyther/,U-turn,Aerial Ace,Brick Break,Pursuit/Knock Off,Choice Band,Technician,Jolly,252 Atk/4 Def/252 Spe/,PU/
Jynx,https://www.smogon.com/dex/sm/pokemon/jynx/,Substitute,Nasty Plot,Lovely Kiss,Ice Beam,Leftovers,Dry Skin,Timid,4 Def/252 SpA/252 Spe/,PU/
Electabuzz,https://www.smogon.com/dex/sm/pokemon/electabuzz/,Thunderbolt,Volt Switch,Psychic,Hidden Power/Hidden Power/Focus Blast,Choice Specs,Static,Timid,252 SpA/4 SpD/252 Spe/,NFE/
Magmar,https://www.smogon.com/dex/sm/pokemon/magmar/,Belly Drum,Fire Punch,Thunder Punch,Mach Punch,Normalium Z,Flame Body,Adamant,252 Atk/4 SpD/252 Spe/,NFE/
Pinsir,https://www.smogon.com/dex/sm/pokemon/pinsir/,X-Scissor,Close Combat/Earthquake,Stone Edge,Knock Off,Choice Scarf,Moxie,Jolly,252 Atk/4 Def/252 Spe/,ZU/OU/PU/Monotype/1v1/LGPE OU/
Tauros,https://www.smogon.com/dex/sm/pokemon/tauros/,Body Slam,Fire Blast,Zen Headbutt/Work Up,Earthquake,Life Orb,Sheer Force,Naive,252 Atk/4 SpA/252 Spe/,NU/
Magikarp,https://www.smogon.com/dex/sm/pokemon/magikarp/,Splash,Flail,Tackle,Bounce,Bright Powder,Rattled,Jolly,36 HP/196 Atk/76 Def/196 Spe/,LC/
Weedle,https://www.smogon.com/dex/sm/pokemon/weedle/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Gyarados,https://www.smogon.com/dex/sm/pokemon/gyarados/,Dragon Dance,Waterfall,Bounce,Earthquake/Taunt,Flyinium Z,Moxie,Jolly,252 Atk/4 SpD/252 Spe/,OU/Uber/Monotype/Battle Spot Singles/BH/1v1/LGPE OU/
Lapras,https://www.smogon.com/dex/sm/pokemon/lapras/,Freeze-Dry,Hydro Pump,Ice Beam,Hidden Power,Choice Specs,Water Absorb,Modest,80 HP/252 SpA/176 Spe/,PU/Monotype/Battle Spot Singles/
Ditto,https://www.smogon.com/dex/sm/pokemon/ditto/,Transform,No movesets available,No movesets available,No movesets available,Choice Scarf,Imposter,Relaxed,30 HP/30 Atk/30 Def/30 SpD/2 Spe/,ZU/Uber/OU/RU/PU/Monotype/Battle Spot Singles/VGC19/
Eevee,https://www.smogon.com/dex/sm/pokemon/eevee/,Last Resort,Baton Pass,Protect/Substitute,Stored Power,Eevium Z,Anticipation,Timid,212 HP/92 SpA/204 Spe/,Battle Spot Singles/
Eevee-Starter,https://www.smogon.com/dex/sm/pokemon/eevee-starter/,Sparkly Swirl,Sappy Seed,Sizzly Slide,Buzzy Buzz/Protect,No Item,Anticipation,Jolly,,LGPE OU/
Vaporeon,https://www.smogon.com/dex/sm/pokemon/vaporeon/,Scald,Heal Bell/Toxic,Wish,Protect,Leftovers,Water Absorb,Bold,252 HP/252 Def/4 SpD/,NU/RU/1v1/
Jolteon,https://www.smogon.com/dex/sm/pokemon/jolteon/,Yawn,Volt Switch,Thunderbolt,Hidden Power,Life Orb,Quick Feet,Timid,252 SpA/4 SpD/252 Spe/,RU/
Flareon,https://www.smogon.com/dex/sm/pokemon/flareon/,Flare Blitz,Superpower,Double-Edge/Return,Quick Attack,Choice Band,Flash Fire,Adamant,252 Atk/4 Def/252 Spe/,PU/
Porygon,https://www.smogon.com/dex/sm/pokemon/porygon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Omanyte,https://www.smogon.com/dex/sm/pokemon/omanyte/,Stealth Rock/Spikes,Hydro Pump,Knock Off,Toxic Spikes/Stealth Rock,Eviolite,Weak Armor,Modest,76 HP/116 Def/116 SpA/156 Spe/,LC/
Omastar,https://www.smogon.com/dex/sm/pokemon/omastar/,Stealth Rock,Spikes,Scald,Rock Tomb/Ice Beam,Focus Sash,Weak Armor,Timid,4 Def/252 SpA/252 Spe/,PU/Monotype/LGPE OU/
Kakuna,https://www.smogon.com/dex/sm/pokemon/kakuna/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Kabuto,https://www.smogon.com/dex/sm/pokemon/kabuto/,Rapid Spin,Stealth Rock,Knock Off,Waterfall/Aqua Jet/Rock Slide,Eviolite,Weak Armor,Careful,116 HP/36 Atk/36 Def/156 SpD/156 Spe/,LC/
Kabutops,https://www.smogon.com/dex/sm/pokemon/kabutops/,Swords Dance,Stone Edge,Liquidation,Aqua Jet/Superpower,Life Orb,Swift Swim,Adamant,252 Atk/4 Def/252 Spe/,PU/
Aerodactyl,https://www.smogon.com/dex/sm/pokemon/aerodactyl/,Stealth Rock,Stone Edge,Earthquake,Ice Fang,Aerodactylite,Unnerve,Jolly,252 Atk/4 SpD/252 Spe/,UU/NU/RU/Monotype/VGC19/VGC17/1v1/LGPE OU/
Snorlax,https://www.smogon.com/dex/sm/pokemon/snorlax/,Double-Edge,Earthquake,Pursuit,Fire Punch/Self-Destruct,Choice Band,Immunity,Adamant,228 HP/252 Atk/28 Spe/,RU/UU/Monotype/Battle Spot Singles/VGC19/VGC18/VGC17/LGPE OU/
Articuno,https://www.smogon.com/dex/sm/pokemon/articuno/,Roost,Defog,Freeze-Dry,Substitute/Toxic/Heal Bell,Leftovers,Pressure,Calm,0 Atk/,PU/UU/RU/
Zapdos,https://www.smogon.com/dex/sm/pokemon/zapdos/,Discharge,Heat Wave,Hidden Power,Roost,Rocky Helmet,Static,Bold,252 HP/184 Def/72 Spe/,OU/Monotype/Doubles/Battle Spot Singles/VGC18/Draft/1v1/LGPE OU/
Moltres,https://www.smogon.com/dex/sm/pokemon/moltres/,Hurricane,Fire Blast,Air Slash/Flamethrower,Sleep Talk/U-turn/Air Slash,Choice Specs,Flame Body,Timid,252 SpA/4 SpD/252 Spe/,UU/OU/
Dratini,https://www.smogon.com/dex/sm/pokemon/dratini/,Dragon Dance,Outrage,Extreme Speed,Fire Blast/Iron Tail,Life Orb,Shed Skin,Naughty,17 HP/,LC/
Dragonair,https://www.smogon.com/dex/sm/pokemon/dragonair/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Dragonite,https://www.smogon.com/dex/sm/pokemon/dragonite/,Dragon Dance,Fly,Earthquake,Extreme Speed,Flyinium Z,Multiscale,Jolly,252 Atk/4 SpD/252 Spe/,OU/Monotype/Battle Spot Singles/1v1/LGPE OU/
Beedrill,https://www.smogon.com/dex/sm/pokemon/beedrill/,U-turn,Poison Jab,Drill Run,Pursuit/Toxic Spikes/Knock Off,Beedrillite,Swarm,Jolly,252 Atk/4 SpD/252 Spe/,UU/PU/Battle Spot Singles/BH/LGPE OU/
Mewtwo,https://www.smogon.com/dex/sm/pokemon/mewtwo/,Low Kick,Taunt,Zen Headbutt/Ice Beam,Zen Headbutt/Stone Edge,Mewtwonite X,Pressure,Jolly,252 Atk/4 Def/252 Spe/,Uber/BH/
Mew,https://www.smogon.com/dex/sm/pokemon/mew/,Knock Off/Seismic Toss,Stealth Rock/Defog,Taunt,Soft-Boiled,Leftovers,Synchronize,Jolly,252 HP/80 Def/176 Spe/,UU/OU/Monotype/Doubles/Draft/LGPE OU/
Chikorita,https://www.smogon.com/dex/sm/pokemon/chikorita/,Giga Drain,Hidden Power,Synthesis,Aromatherapy,Eviolite,Overgrow,Bold,156 HP/156 Def/48 SpA/76 SpD/,LC/
Bayleef,https://www.smogon.com/dex/sm/pokemon/bayleef/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Meganium,https://www.smogon.com/dex/sm/pokemon/meganium/,Aromatherapy,Giga Drain,Synthesis,Dragon Tail,Leftovers,Overgrow,Calm,252 HP/4 Def/252 SpD/,PU/
Cyndaquil,https://www.smogon.com/dex/sm/pokemon/cyndaquil/,Eruption,Hidden Power,Fire Blast,Extrasensory,Choice Scarf,Flash Fire,Timid,44 HP/12 Def/200 SpA/236 Spe/,LC/
Quilava,https://www.smogon.com/dex/sm/pokemon/quilava/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Typhlosion,https://www.smogon.com/dex/sm/pokemon/typhlosion/,Eruption,Fire Blast/Flamethrower,Focus Blast,Hidden Power,Choice Specs,Flash Fire,Timid,252 SpA/4 SpD/252 Spe/,NU/
Totodile,https://www.smogon.com/dex/sm/pokemon/totodile/,Dragon Dance,Waterfall,Ice Punch,Aqua Jet/Superpower,Life Orb,Sheer Force,Adamant,236 Atk/4 Def/252 Spe/,LC/
Croconaw,https://www.smogon.com/dex/sm/pokemon/croconaw/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Pidgey,https://www.smogon.com/dex/sm/pokemon/pidgey/,Brave Bird,Return,U-turn,Heat Wave/Defog,Choice Scarf,Big Pecks,Naive,36 HP/236 Atk/228 Spe/,LC/
Feraligatr,https://www.smogon.com/dex/sm/pokemon/feraligatr/,Agility,Liquidation,Crunch,Ice Punch,Life Orb,Sheer Force,Jolly,252 Atk/4 Def/252 Spe/,UU/
Sentret,https://www.smogon.com/dex/sm/pokemon/sentret/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Furret,https://www.smogon.com/dex/sm/pokemon/furret/,Trick,Return/Double-Edge,U-turn,Brick Break/Knock Off,Choice Band,Frisk,Jolly,252 Atk/4 SpD/252 Spe/,PU/
Hoothoot,https://www.smogon.com/dex/sm/pokemon/hoothoot/,Hypnosis,Roost,Air Slash,Defog/Reflect,Eviolite,Insomnia,Calm,196 HP/36 Def/228 SpD/36 Spe/,LC/
Noctowl,https://www.smogon.com/dex/sm/pokemon/noctowl/,Agility,Work Up,Hurricane,Roost,Flyinium Z,Tinted Lens,Modest,252 SpA/4 SpD/252 Spe/,PU/
Ledyba,https://www.smogon.com/dex/sm/pokemon/ledyba/,Swords Dance,Acrobatics,Knock Off,Drain Punch,Berry Juice,Rattled,Jolly,36 HP/196 Atk/116 Def/156 Spe/,LC/
Ledian,https://www.smogon.com/dex/sm/pokemon/ledian/,Power-Up Punch,Drain Punch,Ice Punch,Thunder Punch,Life Orb,Iron Fist,Jolly,252 Atk/4 SpD/252 Spe/,PU/
Spinarak,https://www.smogon.com/dex/sm/pokemon/spinarak/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Ariados,https://www.smogon.com/dex/sm/pokemon/ariados/,Sticky Web,Toxic Spikes,Megahorn,Sucker Punch/Toxic Thread,Focus Sash,Swarm,Jolly,252 Atk/4 Def/252 Spe/,PU/
Crobat,https://www.smogon.com/dex/sm/pokemon/crobat/,Brave Bird,Super Fang,Taunt,Roost,Sharp Beak,Infiltrator,Jolly,252 Atk/4 Def/252 Spe/,UU/Monotype/VGC19/
Pidgeotto,https://www.smogon.com/dex/sm/pokemon/pidgeotto/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Chinchou,https://www.smogon.com/dex/sm/pokemon/chinchou/,Hydro Pump,Volt Switch,Scald/Hidden Power/Ice Beam,Thunderbolt/Hidden Power/Scald,Choice Scarf,Volt Absorb,Timid,52 Def/232 SpA/224 Spe/,LC/
